month,tempeature
1,-6
1,-6
1,-5
1,-8
1,-6
1,-4
1,-3
1,-6
1,-8
1,-10
1,-9
1,-9
1,-7
1,-5
1,-5
1,-5
1,-7
1,-6
1,-4
1,-6
1,-5
1,-9
1,-12
1,-11
1,-9
1,-10
1,-9
1,-8
1,-8
1,-7
1,-8
2,-7
2,-10
2,-9
2,-8
2,-10
2,-7
2,-9
2,-7
2,-9
2,-10
2,-9
2,-7
2,-3
2,-6
2,-5
2,-5
2,-4
2,-3
2,-3
2,-5
2,-4
2,-3
2,-2
2,-6
2,-4
2,-1
2,0
2,-2
3,-3
3,-1
3,2
3,-1
3,-3
3,-3
3,-2
3,-4
3,-2
3,-2
3,0
3,4
3,5
3,6
3,0
3,-1
3,0
3,2
3,2
3,-2
3,1
3,4
3,6
3,5
3,7
3,7
3,11
3,10
3,7
3,8
3,9
